userID,userName,password,preferredGenres,email,photoNumber,adultStatus
0,kGxn5020,yUCeNUgG,"Music, Superhero, Music",kGxn5020@gmail.com,383829542,TRUE
1,hCUQ9242,HdiHJCfK,"War, Mystery, Music",hCUQ9242@gmail.com,858118155,FALSE
2,srrd3035,jNfeaKRE,"Animation, Adventure, Romance",srrd3035@gmail.com,514482017,FALSE
3,gZla6423,ctFYUQRD,"Action, Comedy, Musical",gZla6423@gmail.com,84898465,FALSE
4,pJzh7553,qcZGPzUT,"Film_Noir, Horror, Film_Noir",pJzh7553@gmail.com,766137868,FALSE
5,krOR2868,wmOoPsgk,"Sport, Horror, Short_Film",krOR2868@gmail.com,74975222,FALSE
6,TgiO9101,gRLPgnel,"Superhero, Mystery, War",TgiO9101@gmail.com,918108481,FALSE
7,iZXY3162,UlhGevDW,"Superhero, Superhero, Mystery",iZXY3162@gmail.com,543831751,FALSE
8,irrn9559,GaegWyHR,"Music, Superhero, Animation",irrn9559@gmail.com,456446610,TRUE
9,MSMh8353,IDoONegZ,"Western, Film_Noir, War",MSMh8353@gmail.com,813804074,TRUE
10,wGwh4766,sGbOyNrh,"Animation, Romance, Short_Film",wGwh4766@gmail.com,939132359,FALSE
11,UTqa2029,kjvoTUom,"Western, Biography, Sci_Fi",UTqa2029@gmail.com,728491842,FALSE
12,GtNZ9426,lSTtUBUO,"War, Adventure, Crime",GtNZ9426@gmail.com,222736573,TRUE
13,npap0804,FEpDgKQd,"Horror, Thriller, Documentary",npap0804@gmail.com,491068084,FALSE
14,GRuo6812,fyFZsLVp,"Biography, Sci_Fi, Musical",GRuo6812@gmail.com,587372975,TRUE
15,fMbL7636,AxoSeSyW,"Short_Film, Sci_Fi, Music",fMbL7636@gmail.com,740369123,TRUE
16,JLtv5467,QJPZFzfv,"Action, Crime, War",JLtv5467@gmail.com,599845425,FALSE
17,PUQf7463,ALkeOHTh,"Superhero, War, Romance",PUQf7463@gmail.com,245139234,TRUE
18,NWmz7409,yRthevse,"Mystery, Short_Film, Sci_Fi",NWmz7409@gmail.com,878900668,TRUE
19,ADLQ6252,MzWYQvxA,"Documentary, Music, Fantasy",ADLQ6252@gmail.com,657762577,TRUE
20,KENv6364,yAtrhlXK,"Biography, Fantasy, Biography",KENv6364@gmail.com,976665583,FALSE
21,dSNH9911,FEYTNUGj,"Family, Drama, Sci_Fi",dSNH9911@gmail.com,959805982,FALSE
22,xLam6132,DwgHOikv,"Biography, Drama, Sci_Fi",xLam6132@gmail.com,635837363,FALSE
23,SybV0230,MRjZhSGO,"Fantasy, Animation, Horror",SybV0230@gmail.com,403176725,TRUE
24,GEMo4738,LnzwVuEi,"Superhero, War, Drama",GEMo4738@gmail.com,587529299,TRUE
25,pCyA2745,KyYpZtOF,"Horror, Musical, Documentary",pCyA2745@gmail.com,330083511,FALSE
26,uvrV7458,zyQsdIYh,"Music, Romance, Film_Noir",uvrV7458@gmail.com,346821673,TRUE
27,WPgy7363,XxYmHohl,"Documentary, Superhero, Documentary",WPgy7363@gmail.com,832076206,FALSE
28,xETQ2260,MAoMnBXF,"Film_Noir, Biography, Musical",xETQ2260@gmail.com,547058522,FALSE
29,wlnl3107,rxiWsaUu,"Adventure, Animation, Short_Film",wlnl3107@gmail.com,98969136,TRUE
30,mWmy9994,HxjLxpDS,"Musical, War, Family",mWmy9994@gmail.com,225594264,FALSE
31,TXHc2346,TsqgYMnJ,"Sport, Action, Horror",TXHc2346@gmail.com,742583907,FALSE
32,KIRP9911,ykPLCvNg,"War, Adventure, Music",KIRP9911@gmail.com,832246046,TRUE
33,ZpFR2590,CfzQgSuC,"Documentary, Adventure, Adventure",ZpFR2590@gmail.com,144950592,FALSE
34,Nmwg4357,PRDggUGW,"Action, Musical, Mystery",Nmwg4357@gmail.com,111881655,TRUE
35,uDFE7396,owlhPCQQ,"Biography, History, Film_Noir",uDFE7396@gmail.com,385044871,FALSE
36,XDUk1666,hpMAlJly,"Crime, Sci_Fi, Mystery",XDUk1666@gmail.com,586607019,TRUE
37,pJLy0078,shbecsep,"Western, Sport, Music",pJLy0078@gmail.com,149558323,FALSE
38,sYjS9963,eFQXCsQJ,"History, Drama, Mystery",sYjS9963@gmail.com,900104449,FALSE
39,AQuf6171,zWjJrdBM,"Western, Film_Noir, History",AQuf6171@gmail.com,457683896,FALSE
40,ZKEv4381,dOFrvYSX,"Superhero, Western, Film_Noir",ZKEv4381@gmail.com,544022255,TRUE
41,krpu0808,HUFouUnY,"Drama, Crime, Western",krpu0808@gmail.com,572802596,FALSE
42,XUSn3662,YEcceqLT,"Adventure, Romance, Film_Noir",XUSn3662@gmail.com,488054253,FALSE
